"","start","lon.s","lat.s","end","lon.e","lat.e","paths"
"70",419,-73.97355569,40.69580705,3108,-73.94434,40.72557,22.4166666666667
"71",216,-73.99548059,40.70037867,321,-73.98971773,40.69991755,NA
"72",450,-73.98788205,40.76227205,521,-73.994442075491,40.750967348716,9.45
"73",344,-73.95380904,40.6851443,503,-73.98751968,40.73827428,39.7
"74",3103,-73.95782357,40.72153267,310,-73.98912867,40.68926942,25.8833333333333
"75",334,-73.99726235,40.74238787,464,-73.96759673,40.75934501,19.05
"76",397,-73.96922273,40.68415748,417,-74.01020234,40.71291224,21.25
"77",3143,-73.9638876914978,40.7768286343997,440,-73.97282625,40.75255434,15.3
"78",296,-73.9970468,40.71413089,362,-73.98753523,40.75172632,26.7333333333333
"79",127,-74.00674436,40.73172428,264,-74.00731853,40.70706456,14.6833333333333
"80",379,-73.9916,40.749156,475,-73.98758561,40.73524276,8.91666666666667
"81",3160,-73.97374737,40.77896784,435,-73.99415556,40.74173969,18.3833333333333
"82",251,-73.99480012,40.72317958,348,-74.00154702,40.72490985,2.56666666666667
"83",3060,-73.94626915,40.69425403,3229,-73.9462494850159,40.6806176845545,7.35
"84",508,-73.99667444,40.76341379,3162,-73.98093133,40.78339981,10.1166666666667
"85",238,-74.00859207,40.7361967,382,-73.99200509,40.73492695,8.11666666666667
"86",512,-73.99839279,40.7500727,3132,-73.97109243,40.76350532,15.8833333333333
"87",399,-73.9647628,40.68851534,3085,-73.95739,40.71469,18.7833333333333
"88",3014,-73.959114,40.722852,289,-73.95881081,40.6845683,19.6166666666667
"89",402,-73.98955109,40.7403432,3136,-73.97147595,40.76650452,22.3166666666667
"90",3106,-73.94308,40.72325,3089,-73.9482021331787,40.7173184038558,5.18333333333333
"91",3135,-73.95772297,40.77112927,531,-73.99266288,40.71893904,27.4166666666667
"92",432,-73.98379855,40.72621788,2003,-73.9805442094803,40.7338121919663,3.81666666666667
"93",3243,-73.9622622728348,40.7589238637769,519,-73.977706,40.751873,11.65
"94",406,-73.99595065,40.69512845,360,-74.00887308,40.70717936,15.5333333333333
"95",319,-74.009447,40.711066,3169,-73.98128127,40.78720869,35.8166666666667
"96",494,-73.99723551,40.74734825,369,-74.00026394,40.73224119,12.6
"97",519,-73.977706,40.751873,3169,-73.98128127,40.78720869,22.1166666666667
"98",487,-73.97573881,40.73314259,3104,-73.96150225,40.72057658,22.95
"99",319,-74.009447,40.711066,329,-74.01020609,40.72043411,6.48333333333333
"100",3241,-73.944694,40.686203,3052,-73.935775,40.686312,4.95
"101",498,-73.98808416,40.74854862,442,-73.993915,40.746647,3.43333333333333
"102",2003,-73.9805442094803,40.7338121919663,236,-73.98713956,40.7284186,5.46666666666667
"103",307,-73.98990025,40.71427487,545,-73.97809472,40.736502,11.4166666666667
"104",417,-74.01020234,40.71291224,332,-73.97948148,40.71219906,13.4833333333333
"105",391,-73.99344559,40.69760127,3066,-73.94708417,40.69957608,21.3833333333333
"106",334,-73.99726235,40.74238787,536,-73.97536082,40.74144387,10.7
"107",490,-73.993934,40.751551,415,-74.00926027,40.7047177,24.95
"108",3165,-73.97603963,40.77575319,362,-73.98753523,40.75172632,11.65
"109",3126,-73.9432635,40.74718234,430,-73.98656928,40.7014851,34.0666666666667
"110",293,-73.9907647,40.73028666,460,-73.96590294,40.71285887,19.0166666666667
"111",3175,-73.98288594,40.77748046,3002,-74.015756,40.711512,28.6
"112",3132,-73.97109243,40.76350532,315,-74.00670227,40.70355377,30.6833333333333
"113",2012,-73.976806,40.739445,314,-73.990539,40.69383,27.4
"114",477,-73.9900262,40.75640548,3145,-73.95772073,40.77862688,20.2166666666667
"115",511,-73.97772429,40.72938685,3172,-73.97754961,40.7785669,30.1333333333333
"116",471,-73.95698119,40.71286844,443,-73.96408963,40.70853074,5.21666666666667
"117",258,-73.96885458,40.68940747,3103,-73.95782357,40.72153267,17.25
"118",242,-73.973736,40.697787,3232,-73.9830426871777,40.6896218879033,8.61666666666667
"119",417,-74.01020234,40.71291224,405,-74.008119,40.739323,13.8833333333333
"120",480,-73.99061728,40.76669671,164,-73.97032517,40.75323098,15.1666666666667
"121",521,-73.99481051,40.75044999,444,-73.98915076,40.7423543,5.58333333333333
"122",3155,-73.96648977,40.76440023,449,-73.98789473,40.76461837,12.3333333333333
"123",224,-74.00552427,40.71146364,466,-73.99144871,40.74395411,28.6333333333333
"124",430,-73.98656928,40.7014851,218,-73.98707105,40.69028437,7.15
"125",3099,-73.948982656002,40.721522403393,414,-73.98765762,40.70281858,24.95
"126",157,-73.99612349,40.69089272,3077,-73.95095259,40.70877084,28.0166666666667
"127",417,-74.01020234,40.71291224,342,-73.98016555,40.71739973,14.8
"128",3157,-73.94446054,40.77518615,434,-74.00366443,40.74317449,30.4833333333333
"129",83,-73.97632328,40.68382604,3065,-73.95032283,40.70029511,16.2166666666667
"130",440,-73.97282625,40.75255434,484,-73.98014437,40.75500254,4.08333333333333
"131",3173,-73.9888858795166,40.777507027548,486,-73.98855723,40.7462009,19.8
"132",3164,-73.97898475,40.7770575,470,-74.00004031,40.74345335,15.2
"133",327,-74.01658354,40.7153379,350,-73.9870295,40.71559509,15.6666666666667
"134",420,-73.96968902,40.68764484,532,-73.960876,40.710451,19.9666666666667
"135",3159,-73.98266566,40.77492513,518,-73.9734419,40.74780373,21
"136",293,-73.9907647,40.73028666,324,-73.981013,40.689888,26
"137",490,-73.993934,40.751551,521,-73.994442075491,40.750967348716,1.98333333333333
"138",306,-74.00530063,40.70823502,3087,-73.95234386,40.71413311,21.85
"139",382,-73.99200509,40.73492695,410,-73.98517977,40.72066442,10.4166666666667
"140",251,-73.99480012,40.72317958,3176,-73.98753759,40.77452835,26.85
"141",3083,-73.94100005,40.71247661,3086,-73.944507,40.715143,2.96666666666667
"142",82,-74.00016545,40.71117416,398,-73.9999786,40.69165183,18.4833333333333
"143",417,-74.01020234,40.71291224,261,-73.98362464,40.69474881,16.4666666666667
"144",3060,-73.94626915,40.69425403,3082,-73.95141312,40.71167351,10.2166666666667
"145",3234,-73.9804315567017,40.7515936845111,250,-73.99565293,40.72456089,17.2833333333333
"146",3222,-73.9771136641502,40.6851595998918,470,-74.00004031,40.74345335,34.9666666666667
"147",254,-73.99800419,40.73532427,494,-73.99723551,40.74734825,8.28333333333333
"148",485,-73.98338988,40.75038009,3132,-73.97109243,40.76350532,9.16666666666667
"149",373,-73.95381995,40.69331716,3087,-73.95234386,40.71413311,13.6666666666667
"150",160,-73.978311,40.748238,3136,-73.97147595,40.76650452,11.4
"151",330,-74.00562789,40.71450451,268,-73.99973337,40.71910537,6.61666666666667
"152",278,-73.98476437,40.69766564,352,-73.97722479,40.76340613,40.1166666666667
"153",3043,-73.934903,40.6814598,473,-73.9919254,40.72110063,29.8666666666667
"154",318,-73.9779874,40.75320159,395,-73.98410637,40.68807003,34.1166666666667
"155",3147,-73.95407149,40.77801203,237,-73.98672378,40.73047309,27.6833333333333
"156",3070,-73.94407279,40.70510918,3094,-73.94485918,40.7169811,5.28333333333333
"157",337,-74.00838676,40.7037992,151,-73.99720307,40.7218158,11.9
"158",2004,-74.004704,40.724399,260,-74.01167797,40.70365182,13.9166666666667
"159",3139,-73.96432627,40.77122923,499,-73.98191841,40.76915505,10.3
"160",3137,-73.96685276,40.77282817,454,-73.96592976,40.75455731,13.9166666666667
"161",3103,-73.95782357,40.72153267,144,-73.98068914,40.69839895,17.15
"162",462,-74.00451887,40.74691959,72,-73.99392888,40.76727216,12.0666666666667
"163",461,-73.98205027,40.73587678,243,-73.979382,40.688226,26.9166666666667
"164",346,-74.00618026,40.73652889,3234,-73.9804315567017,40.7515936845111,13.9166666666667
"165",3150,-73.94803392,40.77536905,293,-73.9907647,40.73028666,29.8166666666667
"166",143,-73.99337909,40.69239502,386,-74.00234482,40.71494807,11.7166666666667
"167",404,-74.00550867,40.7405826,401,-73.98997825,40.72019576,14.7833333333333
"168",515,-73.99461843,40.76009437,352,-73.97722479,40.76340613,8.7
"169",147,-74.01121978,40.71542197,151,-73.997249007225,40.722103786686,9.9
"170",488,-73.99372222,40.75645824,3167,-73.9809304475784,40.7796680900731,16.0666666666667
"171",490,-73.993934,40.751551,3065,-73.95032283,40.70029511,35.75
"172",279,-74.00167,40.707873,151,-73.99720307,40.7218158,9.8
"173",296,-73.9970468,40.71413089,475,-73.98758561,40.73524276,14.8
"174",470,-74.00004031,40.74345335,308,-73.99851193,40.71307916,20.2833333333333
"175",3097,-73.9424469,40.71921585,3072,-73.94644578,40.70583339,8.05
"176",445,-73.98142006,40.72740794,167,-73.97604882,40.7489006,11.8
"177",295,-73.99293911,40.71406667,144,-73.98068914,40.69839895,10.7333333333333
"178",282,-73.96834101,40.70827295,3118,-73.95284,40.73555,12.05
"179",310,-73.98912867,40.68926942,523,-73.99138152,40.75466591,33.0333333333333
"180",3151,-73.94989233,40.7728384,228,-73.971878855,40.7546011026,14.95
"181",309,-74.013012,40.7149787,151,-73.99720307,40.7218158,12.35
"182",258,-73.96885458,40.68940747,3083,-73.94100005,40.71247661,19.1166666666667
"183",3070,-73.94407279,40.70510918,161,-73.99810231,40.72917025,25.8333333333333
"184",409,-73.95643107,40.6906495,459,-74.007756,40.746745,37.2833333333333
"185",353,-73.97431458,40.68539567,432,-73.98379855,40.72621788,26.5
"186",471,-73.95698119,40.71286844,278,-73.98476437,40.69766564,17.4333333333333
"187",485,-73.98338988,40.75038009,445,-73.98142006,40.72740794,14.9833333333333
"188",387,-74.0046073,40.71273266,3222,-73.9771136641502,40.6851595998918,15.1333333333333
"189",514,-74.00277668,40.76087502,218,-73.98707105,40.69028437,29.9833333333333
"190",167,-73.97604882,40.7489006,2022,-73.95920622,40.75849116,10.7833333333333
"191",322,-73.991218,40.696192,224,-74.00552427,40.71146364,10.95
"192",282,-73.96834101,40.70827295,507,-73.97973776,40.73912601,23.7333333333333
"193",428,-73.98783413,40.72467721,490,-73.993934,40.751551,17.7333333333333
"194",326,-73.98426726,40.72953837,137,-73.972924,40.761628,21.6
"195",3235,-73.9799219369888,40.752165280622,332,-73.97948148,40.71219906,18.8833333333333
"196",330,-74.00562789,40.71450451,298,-73.9796772,40.68683208,16.0333333333333
"197",3129,-73.94073717,40.75110165,525,-74.0021163,40.75594159,30.5666666666667
"198",465,-73.98658032,40.75513557,379,-73.9916,40.749156,3.51666666666667
"199",257,-74.00247214,40.71939226,419,-73.97355569,40.69580705,19.1166666666667
"200",3163,-73.97782542,40.7734066,500,-73.98336183,40.76228826,8.2
"201",533,-73.98721619,40.75299641,435,-73.99415556,40.74173969,7.15
"202",260,-74.01167797,40.70365182,377,-74.00566443,40.72243797,11.75
"203",534,-74.0127234,40.70255065,362,-73.98753523,40.75172632,26.35
"204",345,-73.99704374,40.73649403,143,-73.99337909,40.69239502,26.9
"205",3092,-73.95852515,40.7190095,261,-73.98362464,40.69474881,18.4166666666667
"206",161,-73.99810231,40.72917025,464,-73.96759673,40.75934501,24.3666666666667
"207",428,-73.98783413,40.72467721,386,-74.00234482,40.71494807,12.3666666666667
"208",295,-73.99293911,40.71406667,3149,-73.95324922,40.77517793,34.1166666666667
"209",409,-73.95643107,40.6906495,257,-74.00247214,40.71939226,26.9166666666667
"210",427,-74.013942,40.701907,304,-74.01361706,40.70463334,1.51666666666667
"211",3150,-73.94803392,40.77536905,517,-73.97791,40.751581,22.55
"212",330,-74.00562789,40.71450451,317,-73.98185424,40.72453734,15.2666666666667
"213",267,-73.98765428,40.75097711,3146,-73.9567526,40.77573034,28.0166666666667
"214",293,-73.9907647,40.73028666,168,-73.99456405,40.73971301,6.11666666666667
"215",3129,-73.94073717,40.75110165,282,-73.96834101,40.70827295,24.35
"216",225,-74.00803013,40.74195138,331,-73.99193043,40.71173107,23.4333333333333
"217",173,-73.9845272898674,40.7606832709659,483,-73.98889957,40.73223272,14.6166666666667
"218",152,-74.00910627,40.71473993,3164,-73.97898475,40.7770575,32.0666666666667
"219",516,-73.96784384,40.75206862,249,-74.0090009,40.71870987,26.05
"220",448,-73.9979009,40.75660359,531,-73.99266288,40.71893904,23.3833333333333
"221",151,-73.997249007225,40.722103786686,406,-73.99595065,40.69512845,17.45
"222",3088,-73.952029,40.7160751,3120,-73.96044,40.74161,15.6166666666667
"223",302,-73.97793172,40.72082834,532,-73.960876,40.710451,9.98333333333333
"224",303,-73.99949601,40.72362738,438,-73.98564945,40.72779126,7.73333333333333
"225",309,-74.013012,40.7149787,3054,-73.942061,40.6894932,31.1833333333333
"226",3079,-73.94714303,40.71103537,312,-73.989111,40.722055,18.7833333333333
"227",460,-73.96590294,40.71285887,531,-73.99266288,40.71893904,17.3333333333333
"228",270,-73.97178913,40.69308257,398,-73.9999786,40.69165183,16.1
"229",309,-74.013012,40.7149787,355,-73.99974372,40.71602118,9.11666666666667
"230",137,-73.972924,40.761628,329,-74.01020609,40.72043411,29.7833333333333
"231",469,-73.98268129,40.76344058,510,-73.98042047,40.7606597,1.6
"232",116,-74.00149746,40.74177603,3156,-73.95348296,40.76663814,27.2166666666667
"233",232,-73.99014892,40.69597683,212,-74.00681753,40.74334935,24.7166666666667
"234",195,-74.01043382,40.70905623,518,-73.9734419,40.74780373,23.5666666666667
"235",3125,-73.94977234,40.74708586,418,-73.982578,40.70224,30.95
"236",2004,-74.004704,40.724399,116,-74.00149746,40.74177603,11.05
"237",520,-73.97648516,40.75992262,2002,-73.963198,40.716887,35.8
"238",519,-73.977706,40.751873,480,-73.99061728,40.76669671,11.1833333333333
"239",521,-73.994442075491,40.750967348716,3138,-73.9617526531219,40.774405455003,18.6666666666667
"240",3224,-74.0051387250423,40.7399735410341,257,-74.00247214,40.71939226,12.6333333333333
"241",3221,-73.93561,40.743,3118,-73.95284,40.73555,10.2
"242",482,-73.99931783,40.73935542,308,-73.99851193,40.71307916,17.8333333333333
"243",317,-73.98185424,40.72453734,323,-73.98631746,40.69236178,19.2166666666667
"244",3163,-73.97782542,40.7734066,334,-73.99726235,40.74238787,16.9166666666667
"245",520,-73.97648516,40.75992262,392,-73.987167,40.695065,32.05
"246",488,-73.99372222,40.75645824,306,-74.00530063,40.70823502,26.4333333333333
"247",3169,-73.98128127,40.78720869,339,-73.97422494,40.72580614,41.8666666666667
"248",436,-73.95399026,40.68216564,245,-73.97703874,40.69327018,14.5666666666667
"249",3238,-73.9543953537941,40.7739139023812,164,-73.97032517,40.75323098,14.6833333333333
"250",3175,-73.98288594,40.77748046,428,-73.98783413,40.72467721,29.6333333333333
"251",285,-73.99074142,40.73454567,453,-73.99915362,40.74475148,8.45
"252",525,-74.0021163,40.75594159,468,-73.98192338,40.7652654,10.65
"253",326,-73.98426726,40.72953837,540,-73.9821535348892,40.7431155537649,8.01666666666667
"254",3016,-73.9643383026123,40.7710518564153,293,-73.9907647,40.73028666,24.3333333333333
"255",224,-74.00552427,40.71146364,271,-73.97805813,40.68528172,20.0666666666667
"256",236,-73.98713956,40.7284186,161,-73.99810231,40.72917025,6.21666666666667
"257",275,-73.96563307,40.68650065,517,-73.97791,40.751581,41.2833333333333
"258",334,-73.99726235,40.74238787,3108,-73.94434,40.72557,35.75
"259",212,-74.00681753,40.74334935,260,-74.01167797,40.70365182,18.2166666666667
"260",3241,-73.944694,40.686203,3083,-73.94100005,40.71247661,16.9166666666667
"261",3148,-73.95068615,40.77565541,2022,-73.959223,40.759107,13.1333333333333
