ID,Count,Latitude,Longitude,Year
356,2033,40.71622644,-73.98261206,2013
357,2667,40.73261787,-73.99158043,2013
358,5965,40.73291553,-74.00711384,2013
359,3864,40.75510267,-73.97498696,2013
360,2021,40.70717936,-74.00887308,2013
361,3137,40.71605866,-73.99190759,2013
362,2200,40.75172632,-73.98753523,2013
363,3951,40.70834698,-74.01713445,2013
364,585,40.68900443,-73.96023854,2013
365,619,40.68223166,-73.9614583,2013
366,1395,40.693261,-73.968896,2013
367,1737,40.75828065,-73.97069431,2013
368,6775,40.73038599,-74.00214988,2013
369,2503,40.73224119,-74.00026394,2013
372,337,40.694528,-73.958089,2013
373,421,40.69331716,-73.95381995,2013
375,4614,40.72679454,-73.99695094,2013
376,1717,40.70862144,-74.00722156,2013
377,2277,40.72243797,-74.00566443,2013
379,5150,40.749156,-73.9916,2013
380,4779,40.73401143,-74.00293877,2013
382,5960,40.73492695,-73.99200509,2013
383,3435,40.735238,-74.000271,2013
384,1060,40.683048,-73.964915,2013
385,1889,40.75797322,-73.96603308,2013
386,2273,40.71494807,-74.00234482,2013
387,6306,40.71273266,-74.0046073,2013
388,3373,40.74971775,-74.00295035,2013
389,1222,40.71044554,-73.96525063,2013
390,789,40.69221589,-73.9842844,2013
391,1611,40.69760127,-73.99344559,2013
392,1522,40.695065,-73.987167,2013
393,1664,40.72299208,-73.97995466,2013
394,2631,40.72521311,-73.97768752,2013
395,240,40.68807003,-73.98410637,2013
396,732,40.68034242,-73.95576894,2013
397,570,40.68415748,-73.96922273,2013
398,1202,40.69165183,-73.9999786,2013
399,608,40.68851534,-73.9647628,2013
400,525,40.71926081,-73.98178024,2013
401,4050,40.72019576,-73.98997825,2013
402,6505,40.7403432,-73.98955109,2013
403,3025,40.72502876,-73.99069656,2013
405,5482,40.739323,-74.008119,2013
406,1156,40.69512845,-73.99595065,2013
407,239,40.700469,-73.991454,2013
408,1255,40.71076228,-73.99400398,2013
409,450,40.6906495,-73.95643107,2013
410,3449,40.72066442,-73.98517977,2013
411,1444,40.72228087,-73.97668709,2013
412,2404,40.7158155,-73.99422366,2013
414,1032,40.70281858,-73.98765762,2013
415,2014,40.7047177,-74.00926027,2013
